Age,Nationality1,Nationality2,Locality,Special Need,Support,Student Type,Profession,Professional Situation,Professional Group,Mother's Profession,Mother's Habilitation,Mother's Professional Situation,Mother's Professional Group,Father's Profession,Father's Habilitation,Father's Professional Group,Father's Professional Situation,Academic Year,Course,Faculty,Scholarship,Admission,Status,DGES Info,Admission Category,Admission Grade
27,Portugal,Unknown,LOULÉ,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM RADIOLOGIA - 1.º CICLO,Escola Superior de Saúde,No,INGRESSO,1,3 - Concurso institucional,Unknown,Unknown
27,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,CONCURSOS ESPECIAIS,0,Unknown,Unknown,Unknown
29,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Doméstico,Outra situação,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Outra situação,Outra situação,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
27,Portugal,Unknown,QUARTEIRA,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
28,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Trabalhador por conta de outrem,"Trabalhadores qualificados da indústria, construção e artífices",Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Trabalhador por conta de outrem,Outra situação,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Outra situação,Trabalhador por conta de outrem,200506,CURSO BIETÁPICO EM ENGENHARIA ELÉCTRICA E ELECTRÓNICA - 1.º CICLO - (DIURNO),Instituto Superior de Engenharia,No,INGRESSO,0,3 - Concurso institucional,Unknown,Unknown
27,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA ELÉCTRICA E ELECTRÓNICA - 1.º CICLO - (DIURNO),Instituto Superior de Engenharia,No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
26,Portugal,Unknown,ALBUFEIRA,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Diurno),"Escola Superior de Gestão, Hotelaria e Turismo",No,CONCURSOS ESPECIAIS,0,Unknown,Unknown,Unknown
31,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM RADIOLOGIA - 1.º CICLO,Escola Superior de Saúde,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
35,Portugal,Unknown,LOULÉ,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA ELÉCTRICA E ELECTRÓNICA - 1.º CICLO - (DIURNO),Instituto Superior de Engenharia,No,CURSOS BIETÁPICOS (INICÍO 1998/99),0,Unknown,Unknown,Unknown
26,Portugal,Unknown,MONCARAPACHO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Não disponível,Outra situação,Outra situação,Unknown,Não disponível,Outra situação,Outra situação,200506,CURSO BIETÁPICO EM RADIOLOGIA - 1.º CICLO,Escola Superior de Saúde,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
